Nr,Artikel,Nomen
591,das,Holz
592,das,Internet
593,das,Jahr
594,das,Junge
595,das,Kennzeichen
596,das,Kfz
597,das,Kind
598,das,Kino
599,das,Kleid
600,das,Konsulat
601,das,Konto
602,das,Konzert
603,das,Laden
604,das,Lager
605,das,Land
606,das,Leben
607,das,Lebensmittel
608,das,Leid
609,das,Licht
610,das,Lied
611,das,Loch
612,das,Lokal
613,das,Mädchen
614,das,Möbel
615,das,Mal
616,das,Material
617,das,Medikament
618,das,Meer
619,das,Messer
620,das,Metall
621,das,Mittel
622,das,Moment
623,das,Morgen
624,das,Museum
625,das,Obst
626,das,Orange
627,das,Öl
628,das,Päckchen
629,das,Paket
630,das,Papier
631,das,Parfüm
632,das,Plastik
633,das,Praktikum
634,das,Problem
635,das,Programm
636,das,Rücken
637,das,Radio
638,das,Rathaus
639,das,Reifen
640,das,Reis
641,das,Reisebüro
642,das,Restaurant
643,das,Rezept
644,das,Rind
645,das,Rosé
646,das,Salz
647,das,Schiff
648,das,Schild
649,das,Schloss
650,das,Schwein
651,das,Schwimmbad
652,das, Service
653,das, Sofa
654,das, Sonderangebot
655,das,Stück
656,das,Standesamt
657,das,Steuer
658,das,Streichholz
659,das,Studium
660,das,Tag
661,das,Taxi
662,das,Teil
663,das,Telefon
664,das,Telefonbuch
665,das,Theater
666,das,Thema
667,das,Ticket
668,das,Tier
669,das,Trinkgeld
670,das,Video
671,das,Wasser
672,das,Werkzeug
673,das,Wetter
674,das,Wiederhören
675,das, Wiedersehen
676,das,Wochenende
677,das,Wort
678,das,Zentrum
679,das,Zeugnis
680,das,Zimmer
681,das,Auge
